"Date","Price","Open","High","Low","Change %"
"12/11/2023","1,275.30","1,287.59","1,287.59","1,275.30","-0.70%"
"12/08/2023","1,284.34","1,284.34","1,284.34","1,263.92","1.75%"
"12/07/2023","1,262.27","1,262.27","1,262.27","1,244.17","1.53%"
"12/06/2023","1,243.20","1,289.12","1,289.12","1,243.20","-3.54%"
"12/05/2023","1,288.76","1,342.69","1,342.69","1,288.76","-4.00%"
"12/04/2023","1,342.50","1,402.72","1,402.72","1,342.50","-0.21%"
"12/01/2023","1,345.29","1,345.29","1,345.29","1,335.92","0.70%"
"11/30/2023","1,336.00","1,336.00","1,336.00","1,273.40","4.95%"
"11/29/2023","1,272.97","1,335.12","1,335.12","1,272.97","-4.81%"
"11/28/2023","1,337.36","1,337.36","1,337.36","1,302.54","2.72%"
"11/27/2023","1,301.95","1,301.95","1,301.95","1,280.12","1.93%"
"11/24/2023","1,277.28","1,277.28","1,277.28","1,276.67","0.12%"
"11/23/2023","1,275.79","1,281.76","1,281.76","1,275.79","-0.43%"
"11/22/2023","1,281.35","1,296.06","1,296.06","1,281.35","-1.08%"
"11/21/2023","1,295.28","1,320.75","1,320.75","1,295.28","-1.99%"
"11/20/2023","1,321.52","1,345.31","1,345.31","1,321.52","-1.61%"
"11/17/2023","1,343.16","1,412.50","1,412.50","1,343.16","-4.90%"
"11/16/2023","1,412.40","1,437.76","1,437.76","1,412.40","-1.73%"
"11/15/2023","1,437.27","1,437.27","1,437.27","1,435.30","0.09%"
"11/14/2023","1,436.01","1,547.47","1,547.47","1,436.01","-7.14%"
"11/13/2023","1,546.50","1,561.76","1,561.76","1,546.50","-0.76%"
"11/10/2023","1,558.40","1,558.40","1,558.40","1,531.38","1.83%"
"11/09/2023","1,530.45","1,530.45","1,530.45","1,498.30","2.17%"
"11/08/2023","1,497.99","1,575.34","1,575.34","1,497.99","-4.90%"
"11/07/2023","1,575.12","1,583.02","1,583.02","1,575.12","-0.45%"
"11/06/2023","1,582.31","1,582.31","1,582.31","1,544.09","-4.82%"
"11/03/2023","1,662.38","1,662.38","1,662.38","1,603.96","3.69%"
"11/02/2023","1,603.15","1,647.24","1,647.24","1,603.15","-2.74%"
"11/01/2023","1,648.27","1,690.38","1,690.38","1,648.27","-2.46%"
"10/31/2023","1,689.92","1,705.17","1,705.17","1,689.92","-0.87%"
"10/30/2023","1,704.79","1,722.07","1,722.07","1,704.79","-0.79%"
"10/27/2023","1,718.40","1,752.82","1,752.82","1,718.40","-1.97%"
"10/26/2023","1,753.01","1,753.01","1,753.01","1,750.01","0.23%"
"10/25/2023","1,748.94","1,834.27","1,834.27","1,748.94","-6.82%"
"10/24/2023","1,877.03","1,884.74","1,884.74","1,877.03","-0.42%"
"10/23/2023","1,884.98","1,884.98","1,884.98","1,871.43","-1.41%"
"10/20/2023","1,911.98","1,911.98","1,911.98","1,876.05","1.90%"
"10/19/2023","1,876.32","1,898.00","1,898.00","1,876.32","-0.99%"
"10/18/2023","1,895.04","1,895.04","1,895.04","1,895.04","0.65%"
"10/17/2023","1,882.72","1,882.72","1,882.72","1,849.41","1.80%"
"10/16/2023","1,849.41","1,849.41","1,849.41","1,849.41","-0.87%"
"10/13/2023","1,865.58","1,865.58","1,865.58","1,790.48","4.24%"
"10/12/2023","1,789.67","1,789.67","1,789.67","1,739.43","2.93%"
"10/11/2023","1,738.66","1,738.66","1,738.66","1,703.66","2.01%"
"10/10/2023","1,704.40","1,768.59","1,768.59","1,704.40","-3.56%"
"10/09/2023","1,767.23","1,767.23","1,767.23","1,702.66","3.81%"
"10/06/2023","1,702.36","1,747.23","1,747.23","1,702.36","-2.54%"
"10/05/2023","1,746.72","1,746.72","1,746.72","1,717.11","1.66%"
"10/04/2023","1,718.28","1,718.28","1,718.28","1,694.97","10.45%"
"10/03/2023","1,555.70","1,607.86","1,607.86","1,555.70","-3.11%"
"10/02/2023","1,605.70","1,605.70","1,605.70","1,522.51","5.75%"
"09/29/2023","1,518.43","1,555.13","1,555.13","1,518.43","-2.40%"
"09/28/2023","1,555.70","1,555.70","1,555.70","1,518.97","2.42%"
"09/27/2023","1,518.97","1,518.97","1,518.97","1,502.60","1.04%"
"09/26/2023","1,503.29","1,503.29","1,503.29","1,482.06","1.53%"
"09/25/2023","1,480.68","1,480.68","1,480.68","1,473.30","0.63%"
"09/22/2023","1,471.36","1,471.36","1,471.36","1,459.39","0.91%"
"09/21/2023","1,458.08","1,458.08","1,458.08","1,411.42","3.70%"
"09/20/2023","1,406.03","1,447.08","1,447.08","1,406.03","-4.13%"
"09/19/2023","1,466.62","1,466.62","1,466.62","1,462.65","0.29%"
"09/18/2023","1,462.41","1,464.18","1,464.18","1,462.41","0.11%"
"09/15/2023","1,460.83","1,468.51","1,468.51","1,460.83","-0.47%"
"09/14/2023","1,467.72","1,521.54","1,521.54","1,467.72","-3.61%"
"09/13/2023","1,522.66","1,552.64","1,552.64","1,522.66","-1.88%"
"09/12/2023","1,551.78","1,551.78","1,551.78","1,522.37","1.97%"
"09/11/2023","1,521.84","1,522.30","1,522.30","1,521.84","0.20%"
"09/08/2023","1,518.74","1,563.81","1,563.81","1,518.74","-2.94%"
"09/07/2023","1,564.69","1,580.59","1,580.59","1,564.69","-0.96%"
"09/06/2023","1,579.88","1,579.88","1,579.88","1,553.88","1.65%"
"09/05/2023","1,554.20","1,554.20","1,554.20","1,516.87","2.52%"
"09/04/2023","1,515.96","1,529.09","1,529.09","1,515.96","-0.63%"
"09/01/2023","1,525.54","1,553.80","1,553.80","1,525.54","-1.75%"
