"Date","Price","Open","High","Low","Vol.","Change %"
"07/23/2025","143.00","145.50","146.00","142.05","52.93K","-2.36%"
"07/22/2025","146.45","148.00","148.10","144.00","33.41K","0.24%"
"07/21/2025","146.10","141.50","147.90","140.00","87.80K","2.74%"
"07/18/2025","142.20","142.90","146.00","141.00","143.84K","1.32%"
"07/17/2025","140.35","128.00","140.35","127.75","323.09K","9.99%"
"07/16/2025","127.60","129.00","131.80","127.25","14.06K","-1.09%"
"07/15/2025","129.00","130.90","131.00","128.35","32.18K","-2.05%"
"07/14/2025","131.70","132.00","132.00","129.10","30.55K","-0.23%"
"07/11/2025","132.00","132.00","132.50","130.00","26.27K","1.38%"
"07/10/2025","130.20","129.80","133.00","125.35","71.57K","1.32%"
"07/09/2025","128.50","131.00","131.00","128.30","72.55K","-2.32%"
"07/08/2025","131.55","134.00","134.00","129.50","51.01K","-1.83%"
"07/07/2025","134.00","135.00","136.95","133.50","101.12K","1.52%"
"07/04/2025","132.00","126.00","132.00","124.10","279.05K","6.41%"
"07/03/2025","124.05","123.50","126.50","122.25","67.98K","0.24%"
"07/02/2025","123.75","126.30","127.00","123.10","45.12K","-2.25%"
"07/01/2025","126.60","125.05","128.00","125.05","151.49K","1.28%"
"06/30/2025","125.00","122.50","126.00","119.00","99.31K","1.71%"
"06/26/2025","122.90","124.95","124.95","121.50","79.02K","0.00%"
"06/25/2025","122.90","123.70","126.80","121.00","270.63K","-0.12%"
"06/24/2025","123.05","120.10","123.70","120.10","167.27K","5.35%"
"06/23/2025","116.80","111.65","116.95","110.00","268.06K","5.13%"
"06/20/2025","111.10","106.80","112.85","106.80","194.07K","5.81%"
"06/19/2025","105.00","105.20","107.00","100.00","81.81K","-2.51%"
"06/18/2025","107.70","110.00","110.50","105.10","47.42K","-2.09%"
"06/17/2025","110.00","108.85","111.90","107.50","65.12K","1.38%"
"06/16/2025","108.50","107.10","109.60","105.05","54.05K","0.28%"
"06/13/2025","108.20","108.00","113.00","103.85","310.95K","-6.20%"
"06/12/2025","115.35","116.05","117.25","114.15","70.34K","-2.20%"
"06/11/2025","117.95","119.00","119.20","115.10","158.84K","0.68%"
"06/10/2025","117.15","112.00","117.80","111.20","236.50K","3.86%"
"06/06/2025","112.80","113.85","119.00","111.10","149.51K","-0.88%"
"06/05/2025","113.80","103.90","113.80","102.10","177.21K","9.95%"
"06/04/2025","103.50","102.00","103.50","100.00","71.64K","1.22%"
"06/03/2025","102.25","104.85","105.90","102.00","25.25K","-1.59%"
"06/02/2025","103.90","103.10","103.90","101.20","46.60K","2.87%"
"05/30/2025","101.00","99.00","102.00","96.04","110.75K","2.33%"
"05/29/2025","98.70","95.55","99.49","95.55","86.22K","2.81%"
"05/28/2025","96.00","96.21","97.00","95.50","8.23K","-0.01%"
"05/27/2025","96.01","96.00","96.90","95.02","19.38K","0.01%"
"05/26/2025","96.00","95.00","97.70","95.00","32.43K","-1.03%"
"05/23/2025","97.00","97.98","97.98","95.10","22.90K","1.04%"
"05/22/2025","96.00","97.00","99.00","96.00","41.14K","-1.03%"
"05/21/2025","97.00","99.00","99.00","96.70","34.09K","0.47%"
"05/20/2025","96.55","94.50","98.99","93.18","153.04K","1.63%"
"05/19/2025","95.00","95.01","95.89","93.10","75.61K","-1.04%"
"05/16/2025","96.00","97.49","97.49","95.00","79.06K","0.00%"
"05/15/2025","96.00","96.00","98.00","96.00","48.87K","-0.49%"
"05/14/2025","96.47","96.15","97.70","95.00","85.63K","-0.34%"
"05/13/2025","96.80","99.15","100.70","96.50","46.18K","-2.22%"
"05/12/2025","99.00","95.10","99.50","95.10","123.15K","4.21%"
"05/09/2025","95.00","96.80","99.70","95.00","121.83K","-1.95%"
"05/08/2025","96.89","101.00","103.00","96.00","236.05K","-5.93%"
"05/07/2025","103.00","106.00","106.00","103.00","22.41K","-0.96%"
"05/06/2025","104.00","105.00","108.00","104.00","38.65K","0.00%"
"05/05/2025","104.00","103.30","104.75","102.50","7.31K","1.96%"
"05/02/2025","102.00","100.00","103.30","98.00","161.40K","0.00%"
"04/30/2025","102.00","111.70","112.95","102.00","330.07K","-8.11%"
"04/29/2025","111.00","112.10","114.90","111.00","59.68K","-3.01%"
"04/28/2025","114.45","116.40","116.40","114.35","11.00K","-1.34%"
"04/25/2025","116.00","116.00","117.45","114.20","38.18K","0.00%"
"04/24/2025","116.00","113.00","116.90","113.00","250.21K","3.39%"
"04/23/2025","112.20","111.00","112.80","110.65","43.83K","1.86%"
"04/22/2025","110.15","111.00","112.55","110.00","26.60K","-0.77%"
"04/21/2025","111.00","110.90","113.90","110.40","59.38K","0.00%"
"04/18/2025","111.00","109.95","111.70","108.75","116.63K","1.00%"
"04/17/2025","109.90","109.60","111.80","109.50","30.64K","-1.21%"
"04/16/2025","111.25","112.00","113.90","109.00","164.17K","0.68%"
"04/15/2025","110.50","107.15","111.90","107.00","91.57K","5.24%"
"04/14/2025","105.00","99.66","105.00","99.10","156.83K","7.47%"
"04/11/2025","97.70","102.10","102.10","97.20","115.01K","-8.65%"
"04/10/2025","106.95","106.95","106.95","106.95","132.00K","9.13%"
"04/09/2025","98.00","95.50","104.40","92.50","365.55K","-3.73%"
"04/08/2025","101.80","102.00","105.60","96.02","179.97K","1.09%"
"04/07/2025","100.70","105.00","107.55","100.70","269.42K","-9.97%"
"04/04/2025","111.85","112.00","113.00","108.10","99.23K","-0.13%"
"04/03/2025","112.00","116.00","116.80","111.00","78.78K","-2.61%"
"04/02/2025","115.00","112.10","115.60","112.10","161.57K","0.00%"
"03/28/2025","115.00","112.00","115.00","111.00","115.77K","0.97%"
"03/27/2025","113.90","112.70","113.90","108.00","168.91K","1.42%"
"03/26/2025","112.30","114.00","114.00","112.30","40.00K","-1.23%"
"03/25/2025","113.70","114.75","115.00","113.70","70.02K","-0.26%"
"03/24/2025","114.00","115.00","115.00","114.00","47.50K","-0.70%"
"03/21/2025","114.80","115.10","115.30","113.00","59.53K","-0.17%"
"03/20/2025","115.00","114.05","115.70","111.00","69.09K","0.83%"
"03/19/2025","114.05","117.70","117.70","114.05","61.32K","-0.65%"
"03/18/2025","114.80","116.80","116.80","114.50","49.36K","-1.37%"
"03/17/2025","116.40","115.00","116.80","113.20","82.29K","2.11%"
"03/14/2025","114.00","113.00","115.75","113.00","21.29K","0.93%"
"03/13/2025","112.95","112.00","114.00","112.00","31.39K","0.18%"
"03/12/2025","112.75","114.90","116.00","110.70","96.60K","-1.27%"
"03/11/2025","114.20","116.00","116.00","113.50","67.10K","-0.70%"
"03/10/2025","115.00","115.00","117.90","115.00","46.55K","0.35%"
"03/07/2025","114.60","114.40","116.80","114.40","28.71K","-0.35%"
"03/06/2025","115.00","115.00","119.00","114.10","57.13K","1.77%"
"03/05/2025","113.00","113.00","114.65","111.80","70.44K","0.00%"
"03/04/2025","113.00","115.85","117.00","113.00","36.29K","-2.46%"
"03/03/2025","115.85","112.00","118.00","111.70","75.66K","0.56%"
"02/28/2025","115.20","122.00","130.00","115.20","281.11K","-7.10%"
"02/27/2025","124.00","126.70","126.70","118.50","125.86K","-1.82%"
"02/26/2025","126.30","131.45","132.90","126.30","115.57K","-2.85%"
"02/25/2025","130.00","128.80","130.90","126.00","150.62K","1.56%"
"02/24/2025","128.00","127.00","132.00","125.10","278.34K","4.92%"
"02/21/2025","122.00","117.95","125.00","117.50","194.62K","4.27%"
"02/20/2025","117.00","118.00","119.80","116.20","90.19K","-0.85%"
"02/19/2025","118.00","117.00","118.70","114.00","164.75K","1.77%"
"02/18/2025","115.95","119.45","119.45","115.95","87.00K","-1.74%"
"02/17/2025","118.00","119.00","120.00","117.10","50.71K","0.85%"
"02/14/2025","117.00","122.00","122.00","117.00","195.97K","0.86%"
"02/13/2025","116.00","110.15","117.00","109.50","208.48K","5.45%"
"02/12/2025","110.00","112.00","113.00","109.00","145.94K","-1.79%"
"02/11/2025","112.00","115.00","115.00","112.00","40.15K","-2.44%"
"02/10/2025","114.80","115.00","115.60","113.00","35.54K","-0.17%"
"02/07/2025","115.00","114.95","115.35","113.50","78.06K","0.88%"
"02/06/2025","114.00","114.95","115.00","113.80","17.71K","-0.87%"
"02/05/2025","115.00","115.85","115.90","113.00","85.27K","1.68%"
"02/04/2025","113.10","111.20","115.90","111.20","222.75K","2.12%"
"02/03/2025","110.75","112.90","112.90","109.70","63.96K","-1.99%"
"01/31/2025","113.00","116.00","116.75","110.40","110.13K","-2.84%"
"01/30/2025","116.30","119.50","119.95","116.30","67.33K","-2.19%"
"01/29/2025","118.90","116.85","120.00","115.00","83.78K","2.85%"
"01/28/2025","115.60","116.50","116.50","114.60","73.23K","0.09%"
"01/27/2025","115.50","114.00","118.00","113.55","162.64K","-1.28%"
"01/24/2025","117.00","121.50","123.00","112.00","360.39K","-4.88%"
"01/23/2025","123.00","125.20","125.20","121.10","239.07K","2.41%"
"01/22/2025","120.10","114.00","120.10","108.00","327.09K","6.28%"
"01/21/2025","113.00","118.00","118.90","111.00","389.07K","-5.44%"
"01/20/2025","119.50","120.10","126.00","118.00","560.53K","4.28%"
"01/17/2025","114.60","105.90","114.60","105.05","539.68K","9.98%"
"01/16/2025","104.20","97.00","104.20","96.50","592.90K","9.95%"
"01/15/2025","94.77","89.50","94.77","89.50","168.58K","6.48%"
"01/13/2025","89.00","86.25","89.77","86.25","71.19K","1.59%"
"01/10/2025","87.61","91.98","93.46","86.90","255.07K","-3.73%"
"01/09/2025","91.00","95.90","98.50","90.00","805.53K","1.52%"
"01/08/2025","89.64","85.00","89.64","85.00","542.08K","9.99%"
"01/07/2025","81.50","77.93","81.50","77.00","161.94K","4.51%"
"01/06/2025","77.98","78.00","79.40","77.50","198.11K","1.27%"
"01/03/2025","77.00","79.40","79.99","76.70","329.91K","-2.15%"
"01/02/2025","78.69","76.29","79.99","76.29","224.21K","4.64%"
