"Date","Price","Open","High","Low","Change %"
"07/14/2022","376.57","350.28","376.57","350.28","6.42%"
"07/13/2022","353.84","342.96","353.84","342.96","2.79%"
"07/12/2022","344.22","330.97","344.22","330.97","4.04%"
"07/11/2022","330.85","323.33","330.85","323.33","2.28%"
"07/08/2022","323.46","318.16","323.46","318.16","1.13%"
"07/07/2022","319.83","326.23","326.23","319.83","-2.57%"
"07/06/2022","328.26","318.44","328.26","318.44","2.77%"
"07/05/2022","319.41","307.66","319.41","307.66","3.12%"
"07/04/2022","309.74","309.66","309.74","309.54","0.06%"
"07/01/2022","309.54","310.16","310.16","309.54","-0.55%"
"06/30/2022","311.26","301.61","311.26","301.61","2.75%"
"06/29/2022","302.94","286.48","302.94","286.48","5.25%"
"06/28/2022","287.82","273.67","287.82","273.67","5.02%"
"06/27/2022","274.06","274.07","274.07","274.06","-0.35%"
"06/24/2022","275.02","281.89","281.89","275.02","-2.39%"
"06/23/2022","281.74","278.98","281.74","278.98","0.95%"
"06/22/2022","279.09","276.86","279.09","276.86","0.25%"
"06/21/2022","278.39","278.21","278.39","278.21","-2.33%"
"06/20/2022","285.04","277.91","285.04","277.91","-1.57%"
"06/17/2022","289.58","277.61","289.58","277.61","-0.49%"
"06/16/2022","291.00","278.01","291.00","278.01","5.07%"
"06/15/2022","276.95","284.54","284.54","276.95","-2.25%"
"06/14/2022","283.32","289.87","289.87","283.32","-2.13%"
"06/13/2022","289.50","266.52","289.50","266.52","8.31%"
"06/10/2022","267.28","247.41","267.28","247.41","8.18%"
"06/09/2022","247.06","240.57","247.06","240.57","3.68%"
"06/08/2022","238.29","238.59","238.59","238.29","-0.06%"
"06/07/2022","238.44","235.69","238.44","235.69","1.37%"
"06/06/2022","235.22","235.59","235.59","235.22","-0.27%"
"06/03/2022","235.85","235.61","235.85","235.61","0.03%"
"06/02/2022","235.77","235.59","235.77","235.59","-0.09%"
"06/01/2022","235.98","233.70","235.98","233.70","0.61%"
"05/31/2022","234.54","227.91","234.54","227.91","1.86%"
"05/30/2022","230.26","232.66","232.66","230.26","-1.61%"
"05/27/2022","234.03","239.45","239.45","234.03","-3.49%"
"05/26/2022","242.50","255.27","255.27","242.50","-5.51%"
"05/25/2022","256.64","266.06","266.06","256.64","-3.41%"
"05/24/2022","265.71","263.05","265.71","263.05","0.75%"
"05/23/2022","263.74","273.04","273.04","263.74","-3.29%"
"05/20/2022","272.71","274.87","274.87","272.71","1.25%"
"05/19/2022","269.35","267.03","269.35","267.03","0.76%"
"05/18/2022","267.33","260.54","267.33","260.54","2.00%"
"05/17/2022","262.10","263.71","263.71","262.10","-0.61%"
"05/16/2022","263.71","259.07","263.71","259.07","0.95%"
"05/13/2022","261.24","262.73","262.73","261.24","-0.85%"
"05/12/2022","263.48","262.13","263.48","262.13","2.50%"
"05/11/2022","257.06","262.13","262.13","257.06","-2.89%"
"05/10/2022","264.70","272.01","272.01","264.70","-3.38%"
"05/09/2022","273.97","262.12","273.97","262.12","3.55%"
"05/06/2022","264.58","250.38","264.58","250.38","5.37%"
"05/05/2022","251.10","250.38","251.10","250.38","0.43%"
"05/04/2022","250.02","250.38","250.38","250.02","-0.10%"
"05/03/2022","250.27","249.29","250.27","249.29","-0.27%"
"05/02/2022","250.95","249.37","250.95","249.37","-0.03%"
"04/29/2022","251.03","244.38","251.03","244.38","2.53%"
"04/28/2022","244.84","237.55","244.84","237.55","2.41%"
"04/27/2022","239.07","235.59","239.07","235.59","1.40%"
"04/26/2022","235.77","232.72","235.77","232.72","0.37%"
"04/25/2022","234.91","222.55","234.91","222.55","4.54%"
"04/22/2022","224.70","217.97","224.70","217.97","2.62%"
"04/21/2022","218.97","216.96","218.97","216.96","0.61%"
"04/20/2022","217.65","221.76","221.76","217.65","-2.53%"
"04/19/2022","223.29","216.16","223.29","216.16","3.27%"
"04/18/2022","216.21","217.99","217.99","216.21","0.01%"
"04/15/2022","216.19","217.78","217.78","216.19","-0.05%"
"04/14/2022","216.30","216.64","216.64","216.30","0.47%"
"04/13/2022","215.29","215.93","215.93","215.29","0.30%"
"04/12/2022","214.65","214.65","214.65","214.65","0.14%"
"04/11/2022","214.36","213.10","214.36","213.10","1.58%"
"04/08/2022","211.02","213.01","213.01","211.02","-0.43%"
"04/07/2022","211.93","212.80","212.80","211.93","-0.41%"
